Date,System_Pressure_psi,System_Pressure_m,Pump_Head_m,Pump_Head_ft,Flow_Rate_m3hr,Flow_Rate_gpm,Cluster_Label,Cluster_Color,Cluster_Shape
2022-07-28,28.969015860953036,20.372449248306598,14.452723266394166,47.417071083970356,9.750685680000256,42.93111111111224,10,#9cadb7,*
2022-08-11,32.754743297167934,23.03476060994885,19.485964685725527,63.93033033374517,9.408485520000127,41.42444444444501,13,#f8971f,v
2022-08-18,33.41017568210963,23.495693182253433,19.60845988773645,64.33221747945029,10.702461419999619,47.12166666666499,13,#f8971f,v
2022-08-25,32.70460113049101,22.999498150542948,20.210098528540698,66.30609753458234,8.146685520000503,35.86888888889111,13,#f8971f,v
2022-09-01,33.83098625404391,23.791628054912923,20.147460619415835,66.10059258338528,8.623772099999874,37.96944444444389,13,#f8971f,v
2022-09-08,33.29294777208088,23.41325269966994,20.029906182146526,65.71491529575631,9.089754840000252,40.02111111111222,13,#f8971f,v
2022-09-15,33.25071178813394,23.383550260224247,20.23913848663948,66.40137298766233,8.772467359753609,38.624132014906436,13,#f8971f,v
2022-09-22,27.436470580276254,19.2946873698507,16.928886732585365,55.54096697042442,8.390212920000254,36.94111111111223,11,#bf5700,*
2022-09-29,29.44469017680928,20.7069670277513,17.112577849978297,56.143628116726696,8.013817980000125,35.28388888888944,11,#bf5700,*
2022-10-06,30.79974595871706,21.65990948454874,17.055138857646607,55.95517997915554,8.309710080000759,36.586666666670006,11,#bf5700,*
2022-10-13,33.669173867220124,23.677833556192716,18.151516990456344,59.55222109729772,9.675617216694619,42.60059358189631,12,#00a9b7,v
2022-10-20,35.316291170725755,24.836168165581554,18.57944937759647,60.95619874539524,8.079484242771784,35.573009645708,12,#00a9b7,v
2022-10-27,36.34447609463057,25.55923881736571,18.524057950165677,60.774468340438574,8.252171999999998,36.33333333333333,12,#00a9b7,v
2022-11-24,36.85438184551053,25.917829840308382,18.153189862925334,59.55770952403324,9.677137906878372,42.60728900018656,12,#00a9b7,v
2022-12-01,35.86269692694657,25.220427803224105,17.769223111940754,58.29797608904446,10.952424000000253,48.22222222222334,12,#00a9b7,v
2022-12-08,36.050299699892406,25.35235938105282,18.157262583836232,59.57107146927898,9.84204,43.333333333333336,12,#00a9b7,v
2022-12-15,34.62750035071907,24.351776286663785,17.553189537616674,57.58920451973974,11.10066453793851,48.8749077065326,12,#00a9b7,v
2022-12-22,33.157442193890255,23.317958453990304,17.35405669061729,56.93588153089662,12.857868179999873,56.61166666666611,12,#00a9b7,v
2022-12-29,31.011725103765915,21.808983736671614,17.157906595012733,56.292344471826546,12.869362777762813,56.66227601558097,12,#00a9b7,v
2023-01-05,30.59095141915393,21.51307480500732,17.452314499437968,57.25824967007207,12.033408059999873,52.98166666666611,12,#00a9b7,v
2023-01-12,22.00449269262859,15.47465101220603,11.87120042911067,38.947507969523194,9.615168359999874,42.33444444444389,8,#00a9b7,*
2023-01-19,22.18768743056829,15.603482641114203,11.70944794635349,38.41682397097602,9.918640317996788,43.67059543683973,8,#00a9b7,*
2023-01-26,21.91151204907505,15.409262410433657,11.666077996949783,38.27453411072763,10.203167160000252,44.92333333333444,8,#00a9b7,*
2023-02-02,22.7129936384765,15.97290402953131,12.283589083507998,40.300489119120726,11.027374920000252,48.552222222223335,8,#00a9b7,*
2023-02-16,22.52690324574226,15.842036032503984,12.33030373997345,40.453752427734415,10.534011120000377,46.380000000001665,8,#00a9b7,*
2023-02-23,22.800730134387425,16.034604686493523,12.47826645811418,40.9391944163851,10.421710920000127,45.88555555555612,8,#00a9b7,*
2024-06-27,28.469709067325077,20.02131193796976,11.67478857327772,38.30311211705288,8.579861460000883,37.776111111115,7,#bf5700,s
2024-07-04,28.55927148568626,20.084296674191958,11.9127158264561,39.0837133413914,7.588465200000505,33.411111111113335,7,#bf5700,s
2024-07-11,28.192291812651284,19.826218360453232,11.747708966633516,38.54235225273463,7.873127280000504,34.664444444446666,7,#bf5700,s
2024-07-18,26.496643088872688,18.633754048446782,11.980591484026801,39.30640250664961,7.040844,31.0,7,#bf5700,s
2024-07-25,26.983998390099313,18.97648647635488,11.382605196428996,37.344505237627935,10.13667030000063,44.63055555555833,7,#bf5700,s
2024-08-01,28.60718811725548,20.117994026890415,11.771328185564412,38.619843128492164,8.224917120000253,36.21333333333445,7,#bf5700,s
2024-08-08,28.46631543368153,20.018925366416816,11.671360829155168,38.29186623738572,8.632107352787475,38.00614357261881,7,#bf5700,s
2024-08-15,28.686514303698754,20.173780136958296,11.8252079440776,38.796613989755905,7.829105601642944,34.4706222224113,7,#bf5700,s
2024-08-22,28.55940673920121,20.084391791174262,11.920251990281502,39.10843828832513,7.603354440000379,33.476666666668336,7,#bf5700,s
2024-08-29,28.603794483611,20.115607455336818,11.91475607114911,39.09040705757582,7.4129488199998725,32.638333333332774,7,#bf5700,s
2024-09-05,28.451880194917486,20.008773790314983,11.996098750961131,39.357279366670376,7.278062400000632,32.04444444444723,7,#bf5700,s
2024-09-12,28.963003227430914,20.36822086609762,12.016835090425332,39.42531197646106,6.9675334199998735,30.677222222221666,7,#bf5700,s
2024-09-19,28.928833271277274,20.344190857591354,11.995900328528535,39.35662837443745,6.992390879999494,30.78666666666444,7,#bf5700,s
2024-09-26,28.56059942928635,20.085230550017332,11.863710925316196,38.92293610668043,7.120596500834724,31.351140790205896,7,#bf5700,s
2024-10-03,27.304297156859455,19.20173646073255,11.704499539486708,38.40058904031072,7.524239580000378,33.128333333335,7,#bf5700,s
2024-10-10,28.05670016404189,19.73086358578474,11.919844242141028,39.10710053195875,6.981413220000378,30.738333333335,7,#bf5700,s
2024-10-17,28.778437510681826,20.238425096869705,11.894468831862476,39.02384787356455,7.8218981999998745,34.438888888888336,7,#bf5700,s
2024-10-24,27.494076281816575,19.335198557275092,11.923095249683362,39.11776656720263,7.194069492821361,31.674633648673684,7,#bf5700,s
2024-10-31,27.761029832753586,19.522933539168278,11.671365934943427,38.29188298865954,8.630711999999999,38.0,7,#bf5700,s
2024-11-07,27.86914042630569,19.59896227245063,11.697393939553182,38.377276704570804,7.69256370000063,33.86944444444722,7,#bf5700,s
2024-11-14,32.05683516068409,22.54395698172958,14.230406685551245,46.68768597621799,8.945026380001387,39.383888888895,9,#f8971f,*
